Inserted List,ORF Name,Gene Name,UniProt_Acc,Description
YIR017C,YIR017C,MET28,P40573,"Basic leucine zipper (bZIP) transcriptional activator in the Cbf1p-Met4p-Met28p complex, participates in the regulation of sulfur metabolism"
YJR010W,YJR010W,MET3,P08536,"ATP sulfurylase, catalyzes the primary step of intracellular sulfate activation, essential for assimilatory reduction of sulfate to sulfide, involved in methionine metabolism"
YIL046W,YIL046W,MET30,P39014,"F-box protein containing five copies of the WD40 motif, controls cell cycle function, sulfur metabolism, and methionine biosynthesis as part of the ubiquitin ligase complex; interacts with and regulates Met4p, localizes within the nucleus"
YPL038W,YPL038W,MET31,Q03081,"Zinc-finger DNA-binding protein, involved in transcriptional regulation of the methionine biosynthetic genes, similar to Met32p"
YDR253C,YDR253C,MET32,Q12041,"Zinc-finger DNA-binding protein, involved in transcriptional regulation of the methionine biosynthetic genes, similar to Met31p"
YNL103W,YNL103W,MET4,P32389,"Leucine-zipper transcriptional activator, responsible for the regulation of the sulfur amino acid pathway, requires different combinations of the auxiliary factors Cbf1p, Met28p, Met31p and Met32p"
YJR137C,YJR137C,MET5,P47169,"Sulfite reductase beta subunit, involved in amino acid biosynthesis, transcription repressed by methionine"
YER091C,YER091C,MET6,P05694,"Cobalamin-independent methionine synthase, involved in methionine biosynthesis and regeneration; requires a minimum of two glutamates on the methyltetrahydrofolate substrate, similar to bacterial metE homologs"
YOR241W,YOR241W,MET7,Q08645,"Folylpolyglutamate synthetase, catalyzes extension of the glutamate chains of the folate coenzymes, required for methionine synthesis and for maintenance of mitochondrial DNA"
YBR213W,YBR213W,MET8,P15807,"Bifunctional dehydrogenase and ferrochelatase, involved in the biosynthesis of siroheme, a prosthetic group used by sulfite reductase; required for sulfate assimilation and methionine biosynthesis"
YLR017W,YLR017W,MEU1,Q07938,"Methylthioadenosine phosphorylase (MTAP), catalyzes the initial step in the methionine salvage pathway; affects polyamine biosynthesis through regulation of ornithine decarboxylase (Spe1p) activity; regulates ADH2 gene expression"
YPL169C,YPL169C,MEX67,Q99257,"Poly(A)RNA binding protein involved in nuclear mRNA export, component of the nuclear pore; ortholog of human TAP"
YPL187W,YPL187W,MF(ALPHA)1,P01149,"Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)2, although MF(ALPHA)1 produces most alpha-factor"
YGL089C,YGL089C,MF(ALPHA)2,P32435,"Mating pheromone alpha-factor, made by alpha cells; interacts with mating type a cells to induce cell cycle arrest and other responses leading to mating; also encoded by MF(ALPHA)1, which is more highly expressed than MF(ALPHA)2"
YDR461W,YDR461W,MFA1,P34165,"Mating pheromone a-factor, made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA2"
YNL145W,YNL145W,MFA2,P34166,"Mating pheromone a-factor, made by a cells; interacts with alpha cells to induce cell cycle arrest and other responses leading to mating; biogenesis involves C-terminal modification, N-terminal proteolysis, and export; also encoded by MFA1"
YDR219C,YDR219C,MFB1,Q04922,Mitochondria-associated F-box protein involved in maintenance of normal mitochondrial morphology; interacts with Skp1p through the F-box motif; preferentially localizes to the mother cell during budding
YDL233W,YDL233W,MFG1,Q07684,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YDL233W is not an essential gene
YPL060W,YPL060W,MFM1,Q02783,"Mitochondrial inner membrane magnesium transporter, involved in maintenance of mitochondrial magnesium concentrations and membrane potential; indirectly affects splicing of group II introns; functionally and structurally related to Mrs2p"
YML062C,YML062C,MFT1,P33441,"Subunit of the THO complex, which is a nuclear complex comprised of Hpr1p, Mft1p, Rlr1p, and Thp2p, that is involved in transcription elongation and mitotic recombination; involved in telomere maintenance"
YGR249W,YGR249W,MGA1,P53050,Protein similar to heat shock transcription factor; multicopy suppressor of pseudohyphal growth defects of ammonium permease mutants
YIR033W,YIR033W,MGA2,P40578,"ER membrane protein involved in regulation of OLE1 transcription, acts with homolog Spt23p; inactive ER form dimerizes and one subunit is then activated by ubiquitin/proteasome-dependent processing followed by nuclear targeting"
YOR232W,YOR232W,MGE1,P38523,"Mitochondrial matrix cochaperone, acts as a nucleotide release factor for Ssc1p in protein translocation and folding; also acts as cochaperone for Ssq1p in folding of Fe-S cluster proteins; homolog of E. coli GrpE"
YJR144W,YJR144W,MGM101,P32787,"Protein involved in mitochondrial genome maintenance; component of the mitochondrial nucleoid, required for the repair of oxidative mtDNA damage"
YOR211C,YOR211C,MGM1,P32266,"Mitochondrial GTPase, present in complex with Ugo1p and Fzo1p; required for mt morphology and genome maintenance; exists as long and short form with different distributions; homolog of human OPA1 involved in autosomal dominant optic atrophy"
YCL044C,YCL044C,MGR1,P25573,"Subunit of the mitochondrial (mt) i-AAA protease supercomplex, which degrades misfolded mitochondrial proteins; forms a subcomplex with Mgr3p that binds to substrates to facilitate proteolysis; required for growth of cells lacking mtDNA"
YPL098C,YPL098C,MGR2,Q02889,Protein required for growth of cells lacking the mitochondrial genome
YMR115W,YMR115W,MGR3,Q04472,"Subunit of the mitochondrial (mt) i-AAA protease supercomplex, which degrades misfolded mitochondrial proteins; forms a subcomplex with Mgr1p that binds to substrates to facilitate proteolysis; required for growth of cells lacking mtDNA"
YNL218W,YNL218W,MGS1,P40151,Protein with DNA-dependent ATPase and ssDNA annealing activities involved in maintenance of genome; interacts functionally with DNA polymerase delta; homolog of human Werner helicase interacting protein (WHIP)
YDL200C,YDL200C,MGT1,P26188,DNA repair methyltransferase (6-O-methylguanine-DNA methylase) involved in protection against DNA alkylation damage
YOL086W-A,YOL086W-A,MHF1,Q3E835,"Putative protein of unknown function; mutant in a srs2 mutant background displays MMS hypersensitivity; ortholog of human MHF1, a component of the Fanconi anemia (FA) complex that is involved in maintaining genome stability"
YDL160C-A,YDL160C-A,MHF2,Q3E829,"Putative protein of unknown function; mutant in a srs2 mutant background displays MMS hypersensitivity; ortholog of human MHF2, a component of the Fanconi anemia (FA) complex that is involved in maintaining genome stability"
YJL042W,YJL042W,MHP1,P43638,Microtubule-associated protein involved in assembly and stabilization of microtubules; overproduction results in cell cycle arrest at G2 phase; similar to Drosophila protein MAP and to mammalian MAP4 proteins
YDR296W,YDR296W,MHR1,Q06630,Protein involved in homologous recombination in mitochondria; required for recombination-dependent mtDNA partitioning; involved in stimulation of mitochondrial DNA replication in response to oxidative stress
YLL062C,YLL062C,MHT1,Q12525,"S-methylmethionine-homocysteine methyltransferase, functions along with Sam4p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio"
YKL195W,YKL195W,MIA40,P36046,Essential protein of the mitochondrial intermembrane space (IMS); promotes retention of newly imported proteins; may do so by stabilizing client protein folding as part of a disulfide relay system or transferring metal to client proteins
YCL057C-A,YCL057C-A,MIC10,Q96VH5,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YBR262C,YBR262C,MIC12,P38341,"Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
YFR011C,YFR011C,MIC19,P43594,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria; null mutant displays reduced respiratory growth and reduced frequency of mitochondrial genome loss"
YGR235C,YGR235C,MIC26,P50087,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YNL100W,YNL100W,MIC27,P50945,Putative protein of unknown function; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays reduced respiratory growth and reduced frequency of mitochondrial genome loss
YKR016W,YKR016W,MIC60,P36112,Mitochondrial inner membrane protein involved in formation and molecular structure of crista junctions; impairs oligomerization of F1F0-ATP synthase; null shows altered mitochondrial morphology and abnormal mitochondrial genome maintenance
YNL291C,YNL291C,MID1,P41821,"N-glycosylated integral membrane protein of the ER membrane and plasma membrane, functions as a stretch-activated Ca2+-permeable cation channel required for Ca2+ influx stimulated by pheromone; interacts with Cch1p; forms an oligomer"
YLR332W,YLR332W,MID2,P36027,"O-glycosylated plasma membrane protein that acts as a sensor for cell wall integrity signaling and activates the pathway; interacts with Rom2p, a guanine nucleotide exchange factor for Rho1p, and with cell integrity pathway protein Zeo1p"
YKL089W,YKL089W,MIF2,P35201,"Kinetochore protein with homology to human CENP-C, required for structural integrity of the spindle during anaphase spindle elongation, interacts with histones H2A, H2B, and H4, phosphorylated by Ipl1p"
YGL035C,YGL035C,MIG1,P27705,Transcription factor involved in glucose repression; sequence specific DNA binding protein containing two Cys2His2 zinc finger motifs; regulated by the SNF1 kinase and the GLC7 phosphatase
YGL209W,YGL209W,MIG2,P53035,"Protein containing zinc fingers, involved in repression, along with Mig1p, of SUC2 (invertase) expression by high levels of glucose; binds to Mig1p-binding sites in SUC2 promoter"
YER028C,YER028C,MIG3,P39943,"Probable transcriptional repressor involved in response to toxic agents such as hydroxyurea that inhibit ribonucleotide reductase; phosphorylation by Snf1p or the Mec1p pathway inactivates Mig3p, allowing induction of damage response genes"
YMR036C,YMR036C,MIH1,P23748,Protein tyrosine phosphatase involved in cell cycle control; regulates the phosphorylation state of Cdc28p; homolog of S. pombe cdc25
YOL026C,YOL026C,MIM1,Q08176,"Mitochondrial outer membrane protein, involved in the insertion of TOM (translocase of outer membrane) complex components into the membrane and required for assembly of the TOM complex; mutants display impaired mitochondrial protein import"
YOR330C,YOR330C,MIP1,P15801,"Catalytic subunit of the mitochondrial DNA polymerase; conserved C-terminal segment is required for the maintenance of mitochondrial genome; related to human POLG, which has been associated with mitochondrial diseases"
YHR015W,YHR015W,MIP6,P38760,"Putative RNA-binding protein, interacts with Mex67p, which is a component of the nuclear pore involved in nuclear mRNA export"
YJR077C,YJR077C,MIR1,P23641,"Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated"
YBR084W,YBR084W,MIS1,P09440,"Mitochondrial C1-tetrahydrofolate synthase, involved in interconversion between different oxidation states of tetrahydrofolate (THF); provides activities of formyl-THF synthetase, methenyl-THF cyclohydrolase, and methylene-THF dehydrogenase"
YEL007W,YEL007W,MIT1,P40002,Putative protein with sequence similarity to S. pombe gti1+ (gluconate transport inducer 1)
YDR031W,YDR031W,MIX14,Q04341,"Mitochondrial intermembrane space protein, required for normal oxygen consumption; contains twin cysteine-x9-cysteine motifs"
YMR002W,YMR002W,MIX17,Q03667,"Mitochondrial intermembrane space protein, required for normal oxygen consumption; contains twin cysteine-x9-cysteine motifs"
YBL107C,YBL107C,MIX23,P38162,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YBL107C is not an essential gene
YDR144C,YDR144C,MKC7,P53379,"GPI-anchored aspartyl protease, member of the yapsin family of proteases involved in cell wall growth and maintenance; shares functions with Yap3p and Kex2p"
YOR231W,YOR231W,MKK1,P32490,"Mitogen-activated kinase kinase involved in protein kinase C signaling pathway that controls cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk2p"
YPL140C,YPL140C,MKK2,P32491,"Mitogen-activated kinase kinase involved in protein kinase C signaling pathway that controls cell integrity; upon activation by Bck1p phosphorylates downstream target, Slt2p; functionally redundant with Mkk1p"
YNL076W,YNL076W,MKS1,P34072,Pleiotropic negative transcriptional regulator involved in Ras-CAMP and lysine biosynthetic pathways and nitrogen regulation; involved in retrograde (RTG) mitochondria-to-nucleus signaling
YNL085W,YNL085W,MKT1,P40850,"Protein that forms a complex with Pbp1p that may mediate posttranscriptional regulation of HO; involved in propagation of M2 dsRNA satellite of L-A virus; allelic variation affects mitochondrial genome stability, drug resistance, and more"
YGL106W,YGL106W,MLC1,P53141,"Essential light chain for Myo1p, light chain for Myo2p; stabilizes Myo2p by binding to the neck region; interacts with Myo1p, Iqg1p, and Myo2p to coordinate formation and contraction of the actomyosin ring with targeted membrane deposition"
YPR188C,YPR188C,MLC2,Q06580,"Regulatory light chain for the type II myosin, Myo1p; binds to an IQ motif of Myo1p, localization to the bud neck depends on Myo1p; involved in the disassembly of the Myo1p ring"
YNL074C,YNL074C,MLF3,P32047,"Serine-rich protein of unknown function, predicted to be palmitoylated; overproduction suppresses the growth inhibition caused by exposure to the immunosuppressant leflunomide"
YMR167W,YMR167W,MLH1,P38920,Protein required for mismatch repair in mitosis and meiosis as well as crossing over during meiosis; forms a complex with Pms1p and Msh2p-Msh3p during mismatch repair; human homolog is associated with hereditary non-polyposis colon cancer
YLR035C,YLR035C,MLH2,Q07980,Protein involved in the mismatch repair of certain frameshift intermediates and involved in meiotic recombination; forms a complex with Mlh1p
YPL164C,YPL164C,MLH3,Q12083,Protein involved in DNA mismatch repair and crossing-over during meiotic recombination; forms a complex with Mlh1p; mammalian homolog is implicated mammalian microsatellite instability
YKR095W,YKR095W,MLP1,Q02455,"Myosin-like protein associated with the nuclear envelope, connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs"
YIL149C,YIL149C,MLP2,P40457,"Myosin-like protein associated with the nuclear envelope, connects the nuclear pore complex with the nuclear interior; involved in the Tel1p pathway that controls telomere length"
YNL117W,YNL117W,MLS1,P30952,"Malate synthase, enzyme of the glyoxylate cycle, involved in utilization of non-fermentable carbon sources; expression is subject to carbon catabolite repression; localizes in peroxisomes during growth in oleic acid medium"
YIL051C,YIL051C,MMF1,P40185,Mitochondrial protein required for transamination of isoleucine but not of valine or leucine; may regulate specificity of branched-chain transaminases Bat1p and Bat2p; interacts genetically with mitochondrial ribosomal protein genes
YLL006W,YLL006W,MMM1,P41800,"ER integral membrane protein, component of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth"
YLL061W,YLL061W,MMP1,Q12372,"High-affinity S-methylmethionine permease, required for utilization of S-methylmethionine as a sulfur source; has similarity to S-adenosylmethionine permease Sam3p"
YLR190W,YLR190W,MMR1,Q06324,"Phosphorylated protein of the mitochondrial outer membrane, localizes only to mitochondria of the bud; interacts with Myo2p to mediate mitochondrial distribution to buds; mRNA is targeted to the bud via the transport system involving She2p"
YPR164W,YPR164W,MMS1,Q06211,Subunit of an E3 ubiquitin ligase complex involved in resolving replication intermediates or preventing the damage caused by blocked replication forks; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay
YGL087C,YGL087C,MMS2,P53152,"Ubiquitin-conjugating enzyme variant involved in error-free postreplication repair; forms a heteromeric complex with Ubc13p, an active ubiquitin-conjugating enzyme; cooperates with chromatin-associated RING finger proteins, Rad18p and Rad5p"
YEL019C,YEL019C,MMS21,P38632,SUMO ligase involved in chromosomal organization and DNA repair; essential subunit of the Mms21-Smc5-Smc6 complex; mutants are sensitive to methyl methanesulfonate and show increased spontaneous mutation and mitotic recombination
YLR320W,YLR320W,MMS22,Q06164,Protein that acts with Mms1p in a repair pathway that may be involved in resolving replication intermediates or preventing the damage caused by blocked replication forks; required for accurate meiotic chromosome segregation
YBR098W,YBR098W,MMS4,P38257,"Subunit of the structure-specific Mms4p-Mus81p endonuclease that cleaves branched DNA; involved in recombination, DNA repair, and joint molecule formation/resolution during meiotic recombination"
YMR177W,YMR177W,MMT1,Q03218,Putative metal transporter involved in mitochondrial iron accumulation; closely related to Mmt2p
YPL224C,YPL224C,MMT2,Q08970,Putative metal transporter involved in mitochondrial iron accumulation; closely related to Mmt1p
YGL183C,YGL183C,MND1,P53102,"Protein required for recombination and meiotic nuclear division; forms a complex with Hop2p, which is involved in chromosome pairing and repair of meiotic double-strand breaks"
YIR025W,YIR025W,MND2,P40577,Subunit of the anaphase-promoting complex (APC); necessary for maintaining sister chromatid cohesion in prophase I of meiosis by inhibiting premature ubiquitination and subsequent degradation of substrates by the APC(Ama1) ubiquitin ligase
YOR350C,YOR350C,MNE1,P24720,Mitochondrial matrix protein involved in splicing Group I aI5-beta intron from COX1 mRNA
YHR204W,YHR204W,MNL1,P38888,"Alpha-1,2-specific exomannosidase of the endoplasmic reticulum; in complex with Pdi1p, generates a Man7GlcNac2 oligosaccharide signal on glycoproteins destined for ubiquitin-proteasome degradation"
YLR057W,YLR057W,MNL2,Q12205,Putative protein of unknown function; YLR050W is not an essential gene
YER001W,YER001W,MNN1,P39106,"Alpha-1,3-mannosyltransferase, integral membrane glycoprotein of the Golgi complex, required for addition of alpha1,3-mannose linkages to N-linked and O-linked oligosaccharides, one of five S. cerevisiae proteins of the MNN1 family"
YDR245W,YDR245W,MNN10,P50108,"Subunit of a Golgi mannosyltransferase complex also containing Anp1p, Mnn9p, Mnn11p, and Hoc1p that mediates elongation of the polysaccharide mannan backbone; membrane protein of the mannosyltransferase family"
YJL183W,YJL183W,MNN11,P46985,"Subunit of a Golgi mannosyltransferase complex that also contains Anp1p, Mnn9p, Mnn10p, and Hoc1p, and mediates elongation of the polysaccharide mannan backbone; has homology to Mnn10p"
YBR015C,YBR015C,MNN2,P38069,"Alpha-1,2-mannosyltransferase, responsible for addition of the first alpha-1,2-linked mannose to form the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment"
YKL201C,YKL201C,MNN4,P36044,"Putative positive regulator of mannosylphosphate transferase (Mnn6p), involved in mannosylphosphorylation of N-linked oligosaccharides; expression increases in late-logarithmic and stationary growth phases"
YJL186W,YJL186W,MNN5,P46982,"Alpha-1,2-mannosyltransferase, responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localizes to an early Golgi compartment"
YPL050C,YPL050C,MNN9,P39107,"Subunit of Golgi mannosyltransferase complex also containing Anp1p, Mnn10p, Mnn11p, and Hoc1p that mediates elongation of the polysaccharide mannan backbone; forms a separate complex with Van1p that is also involved in backbone elongation"
YGL068W,YGL068W,MNP1,P53163,Protein associated with the mitochondrial nucleoid; putative mitochondrial ribosomal protein with similarity to E. coli L7/L12 ribosomal protein; required for normal respiratory growth
YKL064W,YKL064W,MNR2,P35724,"Vacuolar membrane protein required for magnesium homeostasis; putative magnesium transporter; has similarity to Alr1p and Alr2p, which mediate influx of Mg2+ and other divalent cations"
YJR131W,YJR131W,MNS1,P32906,"Alpha-1,2-mannosidase involved in ER quality control; catalyzes the removal of one mannose residue from Man9GlcNAc to produce a single isomer of Man8GlcNAc in N-linked oligosaccharide biosynthesis; integral to ER membrane"
YGL257C,YGL257C,MNT2,P53059,Mannosyltransferase involved in adding the 4th and 5th mannose residues of O-linked glycans
YIL014W,YIL014W,MNT3,P40549,"Alpha-1,3-mannosyltransferase, adds the fourth and fifth alpha-1,3-linked mannose residues to O-linked glycans during protein O-glycosylation"
YNR059W,YNR059W,MNT4,P53745,"Putative alpha-1,3-mannosyltransferase, not required for protein O-glycosylation"
YIL106W,YIL106W,MOB1,P40484,Component of the mitotic exit network; associates with and is required for the activation and Cdc15p-dependent phosphorylation of the Dbf2p kinase; required for cytokinesis and cell separation; component of the CCR4 transcriptional complex
YFL034C-B,YFL034C-B,MOB2,P43563,Activator of Cbk1p kinase; component of the RAM signaling network that regulates cellular polarity and morphogenesis; activation of Cbk1p facilitates the Ace2p-dependent daughter cell-specific transcription of genes involved in cell separation; similar to Mob1p
YOR274W,YOR274W,MOD5,P07884,"Delta 2-isopentenyl pyrophosphate:tRNA isopentenyl transferase, required for biosynthesis of the modified base isopentenyladenosine in mitochondrial and cytoplasmic tRNAs; gene is nuclear and encodes two isozymic forms"
YJR074W,YJR074W,MOG1,P47123,"Conserved nuclear protein that interacts with GTP-Gsp1p, which is a Ran homolog of the Ras GTPase family, and stimulates nucleotide release, involved in nuclear protein import, nucleotide release is inhibited by Yrb1p"
YBL049W,YBL049W,MOH1,P38191,"Protein of unknown function, has homology to kinase Snf7p; not required for growth on nonfermentable carbon sources; essential for survival in stationary phase"
YGL124C,YGL124C,MON1,P53129,"Protein required for fusion of cvt-vesicles and autophagosomes with the vacuole; associates, as a complex with Ccz1p, with a perivacuolar compartment; potential Cdc28p substrate"
YNL297C,YNL297C,MON2,P48563,"Peripheral membrane protein with a role in endocytosis and vacuole integrity, interacts with Arl1p and localizes to the endosome; member of the Sec7p family of proteins"
YPL082C,YPL082C,MOT1,P32333,"Essential abundant protein involved in regulation of transcription, removes Spt15p (TBP) from DNA via its C-terminal ATPase activity, forms a complex with TBP that binds TATA DNA with high affinity but with altered specificity"
YER068W,YER068W,MOT2,P34909,"Subunit of the CCR4-NOT complex, which has roles in transcription regulation, mRNA degradation, and post-transcriptional modifications; with Ubc4p, ubiquitinates nascent polypeptide-associated complex subunits and histone demethyase Jhd2p"
YMR070W,YMR070W,MOT3,P54785,"Nuclear transcription factor with two Cys2-His2 zinc fingers; involved in repression of a subset of hypoxic genes by Rox1p, repression of several DAN/TIR genes during aerobic growth, and repression of ergosterol biosynthetic genes; can form the [MOT3+] prion"
YNL249C,YNL249C,MPA43,P53583,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YGL080W,YGL080W,MPC1,P53157,"Putative protein of unknown function; highly conserved across species and orthologous to human gene BRP44L; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YHR162W,YHR162W,MPC2,P38857,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion
YGR243W,YGR243W,MPC3,P53311,"Putative protein of unknown function; expression regulated by osmotic and alkaline stresses; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YOR177C,YOR177C,MPC54,Q08550,"Component of the meiotic outer plaque, a membrane-organizing center which is assembled on the cytoplasmic face of the spindle pole body during meiosis II and triggers the formation of the prospore membrane; potential Cdc28p substrate"
YOR288C,YOR288C,MPD1,Q12404,Member of the protein disulfide isomerase (PDI) family; interacts with and inhibits the chaperone activity of Cne1p; MPD1 overexpression in a pdi1 null mutant suppresses defects in Pdi1p functions such as carboxypeptidase Y maturation
YOL088C,YOL088C,MPD2,Q99316,"Member of the protein disulfide isomerase (PDI) family, exhibits chaperone activity; overexpression suppresses the lethality of a pdi1 deletion but does not complement all Pdi1p functions; undergoes oxidation by Ero1p"
YKL059C,YKL059C,MPE1,P35728,"Essential conserved subunit of CPF (cleavage and polyadenylation factor), plays a role in 3' end formation of mRNA via the specific cleavage and polyadenylation of pre-mRNA, contains a putative RNA-binding zinc knuckle motif"
YIR002C,YIR002C,MPH1,P40562,"Member of the DEAH family of helicases, functions in an error-free DNA damage bypass pathway that involves homologous recombination, binds to flap DNA and stimulates activity of Rad27p and Dna2p; mutations confer a mutator phenotype"
YDL247W,YDL247W,MPH2,P0CD99,"Alpha-glucoside permease, transports maltose, maltotriose, alpha-methylglucoside, and turanose; identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication"
YJR160C,YJR160C,MPH3,P0CE00,"Alpha-glucoside permease, transports maltose, maltotriose, alpha-methylglucoside, and turanose; identical to Mph2p; encoded in a subtelomeric position in a region likely to have undergone duplication"
YJL066C,YJL066C,MPM1,P40364,"Mitochondrial membrane protein of unknown function, contains no hydrophobic stretches"
YJR002W,YJR002W,MPP10,P47083,"Component of the SSU processome and 90S preribosome, required for pre-18S rRNA processing, interacts with and controls the stability of Imp3p and Imp4p, essential for viability; similar to human Mpp10p"
YNR024W,YNR024W,MPP6,P53725,"Nuclear exosome-associated RNA binding protein; involved in surveillance of pre-rRNAs and pre-mRNAs, and the degradation of cryptic non-coding RNAs (ncRNA); copurifies with ribosomes"
YDL028C,YDL028C,MPS1,P54199,"Dual-specificity kinase required for spindle pole body (SPB) duplication and spindle checkpoint function; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, and checkpoint protein Mad1p"
YGL075C,YGL075C,MPS2,P53159,"Essential membrane protein localized at the nuclear envelope and spindle pole body (SPB), required for insertion of the newly duplicated SPB into the nuclear envelope; potentially phosphorylated by Cdc28p"
YJL019W,YJL019W,MPS3,P47069,Nuclear envelope protein required for SPB duplication and nuclear fusion; localizes to the SPB half bridge and at telomeres during meiosis; required with Ndj1p and Csm4p for meiotic bouquet formation and telomere-led rapid prophase movement
YGL178W,YGL178W,MPT5,P39016,"Member of the Puf family of RNA-binding proteins; binds to mRNAs encoding chromatin modifiers and spindle pole body components; involved in longevity, maintenance of cell wall integrity, and sensitivity to and recovery from pheromone arrest"
YCL061C,YCL061C,MRC1,P25588,"S-phase checkpoint protein required for DNA replication; interacts with and stabilizes Pol2p at stalled replication forks during stress, where it forms a pausing complex with Tof1p and is phosphorylated by Mec1p; protects uncapped telomeres"
YPR112C,YPR112C,MRD1,Q06106,Essential conserved protein that is part of the 90S preribosome; required for production of 18S rRNA and small ribosomal subunit; contains five consensus RNA-binding domains
YMR224C,YMR224C,MRE11,P32829,"Subunit of a complex with Rad50p and Xrs2p (MRX complex) that functions in repair of DNA double-strand breaks and in telomere stability, exhibits nuclease activity that appears to be required for MRX function; widely conserved"
YGL143C,YGL143C,MRF1,P30775,"Mitochondrial translation release factor, involved in stop codon recognition and hydrolysis of the peptidyl-tRNA bond during mitochondrial translation; lack of MRF1 causes mitochondrial genome instability"
YDR033W,YDR033W,MRH1,Q12117,"Protein that localizes primarily to the plasma membrane, also found at the nuclear envelope; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; has similarity to Hsp30p and Yro2p"
YGL064C,YGL064C,MRH4,P53166,"Mitochondrial ATP-dependent RNA helicase of the DEAD-box family, plays an essential role in mitochondrial function"
YPR118W,YPR118W,MRI1,Q06489,5'-methylthioribose-1-phosphate isomerase; catalyzes the isomerization of 5-methylthioribose-1-phosphate to 5-methylthioribulose-1-phosphate in the methionine salvage pathway
YDL079C,YDL079C,MRK1,P50873,Glycogen synthase kinase 3 (GSK-3) homolog; one of four GSK-3 homologs in S. cerevisiae that function to activate Msn2p-dependent transcription of stress responsive genes and that function in protein degradation
YPR079W,YPR079W,MRL1,Q06815,"Membrane protein with similarity to mammalian mannose-6-phosphate receptors, possibly functions as a sorting receptor in the delivery of vacuolar hydrolases"
YOR201C,YOR201C,MRM1,P25270,"Ribose methyltransferase that modifies a functionally critical, conserved nucleotide in mitochondrial 21S rRNA"
YGL136C,YGL136C,MRM2,P53123,"Mitochondrial 2' O-ribose methyltransferase, required for methylation of U(2791) in 21S rRNA; MRM2 deletion confers thermosensitive respiration and loss of mitochondrial DNA; has similarity to Spb1p and Trm7p, and to E. coli FtsJ/RrmJ"
YPL184C,YPL184C,MRN1,Q08925,"RNA-binding protein proposed to be involved in translational regulation; binds specific categories of mRNAs, including those that contain upstream open reading frames (uORFs) and internal ribosome entry sites (IRES)"
YDR347W,YDR347W,MRP1,P10662,"Mitochondrial ribosomal protein of the small subunit; MRP1 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator, and with PET123, encoding a small subunit mitochondrial ribosomal protein"
YDL045W-A,YDL045W-A,MRP10,O75012,Mitochondrial ribosomal protein of the small subunit; contains twin cysteine-x9-cysteine motifs
YGR084C,YGR084C,MRP13,P12686,Mitochondrial ribosomal protein of the small subunit
YKL003C,YKL003C,MRP17,P28778,"Mitochondrial ribosomal protein of the small subunit; MRP17 exhibits genetic interactions with PET122, encoding a COX3-specific translational activator"
YPR166C,YPR166C,MRP2,P10663,Mitochondrial ribosomal protein of the small subunit
YDR405W,YDR405W,MRP20,P32387,Mitochondrial ribosomal protein of the large subunit
YBL090W,YBL090W,MRP21,P38175,Mitochondrial ribosomal protein of the small subunit; MRP21 exhibits genetic interactions with mutations in the COX2 and COX3 mRNA 5'-untranslated leader sequences
YKL167C,YKL167C,MRP49,P32388,"Mitochondrial ribosomal protein of the large subunit, not essential for mitochondrial translation"
YHL004W,YHL004W,MRP4,P32902,Mitochondrial ribosomal protein of the small subunit
